geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_wt_v_SfmbtKD_change
AGO3	34.0468364662082	1.83778562737112	0.472939316022905	3.88588041870917	0.000101959689945068	0.00353393771468167	enriched in SfmbtKD
ATP6	3631.14544146541	-1.01606061571058	0.32618412098365	-3.11499104446447	0.00183950494686155	0.0320482637656331	depleted in SfmbtKD
ATP8	186.469196214276	1.66201272371542	0.353603849720545	4.70021105547611	2.59892746802054e-06	0.000170612924358964	enriched in SfmbtKD
ATPsynepsilonL	95.113691553082	2.46519915850392	0.24535115256644	10.0476363478112	9.40972806169049e-24	8.03041875664769e-21	enriched in SfmbtKD
Abd-B	498.374951885145	4.0541816363492	0.532176301118443	7.61811758214104	2.57401778859338e-14	9.08983316309823e-12	enriched in SfmbtKD
Alk	89.6751691901596	-1.44280519044642	0.46726911210555	-3.08773927714808	0.00201685332510286	0.0339155909727067	depleted in SfmbtKD
Arc1	2024.5925025066	1.14525290073539	0.27495236725587	4.16527747029584	3.1097411901315e-05	0.00131526194271433	enriched in SfmbtKD
AttA	11.4617192214196	-7.72106285133078	2.24468743265393	-3.43970511841021	0.000582348310909563	0.0134018630382581	depleted in SfmbtKD
BoYb	17.562603923551	2.24673891905505	0.670043379393388	3.35312457096299	0.000799047345635139	0.0170835988865333	enriched in SfmbtKD
CCHa2	17.9587533883914	-3.91352287725252	1.20318100958607	-3.2526468137981	0.00114335513819482	0.022176325701237	depleted in SfmbtKD
CG10062	7.89250829573572	2.10751834571202	0.715374894626719	2.94603341764141	0.00321877623189338	0.046756719703291	enriched in SfmbtKD
CG10208	155.948854398932	-2.92064888301176	0.321507928092186	-9.08422041205253	1.0444446693316e-19	7.13077190574997e-17	depleted in SfmbtKD
CG10361	16.9042870595301	-2.5855490961894	0.807004218756677	-3.20388547679821	0.00135586398308516	0.0252003685132036	depleted in SfmbtKD
CG10483	25.8279582124751	-1.51979221602186	0.403398584761641	-3.7674703715678	0.00016491010547763	0.0051332656236973	depleted in SfmbtKD
